Pressure (dbar),Depth (m),Temperature (°C),Conductivity (µS/cm),Specific Conductance (µS/cm),Salinity (PSS),Sound Velocity (m/s),Density (kg/m³),Latitude,Longitude,UTC Time,File Name
1.05,1.070823398546559,11.864206059134897,319.40590689343935,433.219565858914,0.20615151327235842,1454.7868563922418,999.6814907908633,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
1.35,1.3767708062618114,11.833760781352774,318.9800972479568,432.999631970029,0.2060265485724355,1454.6761249969002,999.6862466887361,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
1.65,1.6827170247193668,11.816333089728301,318.8754956127648,433.0625416110907,0.2060466476603471,1454.614875419816,999.6896430113218,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
1.95,1.988662416407416,11.808551883502558,318.9946772015499,433.3159834855144,0.2061649747796703,1454.5903243917644,999.692030084524,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
2.25,2.294606934327574,11.788876935776475,318.989228737169,433.5403188496877,0.20626247382537274,1454.5205974619505,999.6957335850844,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
2.55,2.6005507038040756,11.78791128769994,319.0587887324314,433.64624079528664,0.206312676087732,1454.52181712526,999.6973016704547,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
2.85,2.906490631675849,11.589872441370288,318.5857499022025,435.3468988074334,0.2070286965904909,1453.773850451911,999.721220066403,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
3.15,3.21242242823247,11.318601595964495,314.4568264136166,432.9142816563691,0.20568447592832162,1452.7385519554834,999.750824377233,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
3.4499999999999997,3.51834643685587,11.124545725033656,312.79835663098015,432.9443462235936,0.20558208631507732,1451.996056825642,999.772500920833,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
3.75,3.824262072360721,10.814417345704992,311.379395192465,434.71235646083574,0.20625033980883747,1450.800088518242,999.805933348444,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
4.05,4.130167164026034,10.466272478068058,309.78407979156293,436.7305303695643,0.20700722939398922,1449.4458699594452,999.8418021673644,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
4.35,4.436062463625439,10.171089456813066,306.84017897051285,436.21079657951026,0.20655556090755647,1448.2878011398107,999.8703245268795,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
4.6499999999999995,4.741950792519171,9.992665751615695,305.3989894377371,436.3757131358821,0.20651179682314222,1447.5858650844323,999.8877525534892,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
4.949999999999999,5.0478348178332775,9.885891835882324,305.0567801589452,437.2208421588569,0.20684674191314742,1447.166693499608,999.898840106857,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
5.249999999999999,5.353715359737923,9.768312308882726,304.9991701344666,438.616587749277,0.2074404401448568,1446.7036041040708,999.9109068608194,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
5.55,5.659591788281818,9.609200823006695,304.33135249916944,439.66827499937995,0.20783520345991108,1446.072566684247,999.9261136167797,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
5.85,5.965464973331497,9.54372947571606,302.93054709255665,438.47400337232574,0.20720595248293228,1445.813998126603,999.9324936022903,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
